,0,1,2,3,4,5
0,NIC_PT,NUI_PT,NAME,time,state,county
1,25874,3632,"Adams County, IN",2020,18,001
2,289194,29249,"Allen County, IN",2020,18,003
3,63868,6193,"Bartholomew County, IN",2020,18,005
4,6310,766,"Benton County, IN",2020,18,007
5,8213,787,"Blackford County, IN",2020,18,009
6,55856,4151,"Boone County, IN",2020,18,011
7,10099,1075,"Brown County, IN",2020,18,013
8,14399,1596,"Carroll County, IN",2020,18,015
9,26075,3572,"Cass County, IN",2020,18,017
10,89737,8827,"Clark County, IN",2020,18,019
11,19221,1807,"Clay County, IN",2020,18,021
12,22961,3205,"Clinton County, IN",2020,18,023
13,7336,966,"Crawford County, IN",2020,18,025
14,22227,5448,"Daviess County, IN",2020,18,027
15,37179,3123,"Dearborn County, IN",2020,18,029
16,19894,1891,"Decatur County, IN",2020,18,031
17,33071,2895,"De Kalb County, IN",2020,18,033
18,77967,7204,"Delaware County, IN",2020,18,035
19,31226,3146,"Dubois County, IN",2020,18,037
20,142595,28438,"Elkhart County, IN",2020,18,039
21,16174,1552,"Fayette County, IN",2020,18,041
22,60088,4785,"Floyd County, IN",2020,18,043
23,11733,1263,"Fountain County, IN",2020,18,045
24,16649,1636,"Franklin County, IN",2020,18,047
25,14043,1638,"Fulton County, IN",2020,18,049
26,25414,1832,"Gibson County, IN",2020,18,051
27,43488,3911,"Grant County, IN",2020,18,053
28,23155,2182,"Greene County, IN",2020,18,055
29,288811,13942,"Hamilton County, IN",2020,18,057
30,61578,4398,"Hancock County, IN",2020,18,059
31,29925,2812,"Harrison County, IN",2020,18,061
32,136162,9131,"Hendricks County, IN",2020,18,063
33,32247,2914,"Henry County, IN",2020,18,065
34,59683,5249,"Howard County, IN",2020,18,067
35,26352,2422,"Huntington County, IN",2020,18,069
36,32664,3664,"Jackson County, IN",2020,18,071
37,23765,2641,"Jasper County, IN",2020,18,073
38,14711,1613,"Jay County, IN",2020,18,075
39,21964,2176,"Jefferson County, IN",2020,18,077
40,20560,1892,"Jennings County, IN",2020,18,079
41,125531,9816,"Johnson County, IN",2020,18,081
42,25122,2777,"Knox County, IN",2020,18,083
43,55582,8170,"Kosciusko County, IN",2020,18,085
44,24322,9735,"Lagrange County, IN",2020,18,087
45,360111,31606,"Lake County, IN",2020,18,089
46,75442,6819,"La Porte County, IN",2020,18,091
47,32391,3143,"Lawrence County, IN",2020,18,093
48,89484,9117,"Madison County, IN",2020,18,095
49,732655,75897,"Marion County, IN",2020,18,097
50,32144,4799,"Marshall County, IN",2020,18,099
51,7131,722,"Martin County, IN",2020,18,101
52,23001,2457,"Miami County, IN",2020,18,103
53,102904,10746,"Monroe County, IN",2020,18,105
54,26893,3147,"Montgomery County, IN",2020,18,107
55,52797,4880,"Morgan County, IN",2020,18,109
56,9643,1306,"Newton County, IN",2020,18,111
57,34538,4493,"Noble County, IN",2020,18,113
58,4064,421,"Ohio County, IN",2020,18,115
59,13682,1679,"Orange County, IN",2020,18,117
60,14557,1813,"Owen County, IN",2020,18,119
61,10465,1375,"Parke County, IN",2020,18,121
62,13040,955,"Perry County, IN",2020,18,123
63,8687,1016,"Pike County, IN",2020,18,125
64,129975,8762,"Porter County, IN",2020,18,127
65,18877,1290,"Posey County, IN",2020,18,129
66,8686,921,"Pulaski County, IN",2020,18,131
67,24309,2085,"Putnam County, IN",2020,18,133
68,16926,1858,"Randolph County, IN",2020,18,135
69,20750,2113,"Ripley County, IN",2020,18,137
70,11971,1309,"Rush County, IN",2020,18,139
71,196893,18026,"St. Joseph County, IN",2020,18,141
72,17670,1660,"Scott County, IN",2020,18,143
73,33002,3260,"Shelby County, IN",2020,18,145
74,14549,1398,"Spencer County, IN",2020,18,147
75,16588,1746,"Starke County, IN",2020,18,149
76,23670,2323,"Steuben County, IN",2020,18,151
77,13320,1226,"Sullivan County, IN",2020,18,153
78,7660,926,"Switzerland County, IN",2020,18,155
79,144286,12553,"Tippecanoe County, IN",2020,18,157
80,10821,1015,"Tipton County, IN",2020,18,159
81,5037,581,"Union County, IN",2020,18,161
82,131444,12434,"Vanderburgh County, IN",2020,18,163
83,11013,1036,"Vermillion County, IN",2020,18,165
84,71521,7740,"Vigo County, IN",2020,18,167
85,20603,2087,"Wabash County, IN",2020,18,169
86,5940,471,"Warren County, IN",2020,18,171
87,48508,3475,"Warrick County, IN",2020,18,173
88,20592,2204,"Washington County, IN",2020,18,175
89,45812,4834,"Wayne County, IN",2020,18,177
90,20858,1746,"Wells County, IN",2020,18,179
91,16858,1991,"White County, IN",2020,18,181
92,25366,2297,"Whitley County, IN",2020,18,183
